,Name,OvPck,Pos,RdPck,Rnd,Tm,Type,WAR,Year
0,Mike Ivie,1.0,C,1.0,1.0,Padres,HS,7.3,1970.0
1,Steve Dunning,2.0,RHP,2.0,1.0,Indians,4Yr,1.9,1970.0
2,Barry Foote,3.0,C,3.0,1.0,Expos,HS,3.5,1970.0
3,Darrell Porter,4.0,C,4.0,1.0,Brewers,HS,40.8,1970.0
4,Mike Martin,5.0,LHP,5.0,1.0,Phillies,HS,0.0,1970.0
5,Lee Richard,6.0,SS,6.0,1.0,White Sox,4Yr,-1.3,1970.0
6,Randy Scarbery,7.0,RHP,7.0,1.0,Astros,HS,0.7,1970.0
7,Rex Goodson,8.0,C,8.0,1.0,Royals,HS,0.0,1970.0
8,Jim Haller,9.0,RHP,9.0,1.0,Dodgers,HS,0.0,1970.0
9,Paul Dade,10.0,3B,10.0,1.0,Angels,HS,1.2,1970.0
10,Jim Browning,11.0,RHP,11.0,1.0,Cardinals,HS,0.0,1970.0
11,Dave Cheadle,12.0,LHP,12.0,1.0,Yankees,HS,-0.3,1970.0
12,John Bedard,13.0,RHP,13.0,1.0,Pirates,HS,0.0,1970.0
13,Chip Maxwell,14.0,3B,14.0,1.0,Senators,HS,0.0,1970.0
14,Gary Polczynski,15.0,SS,15.0,1.0,Reds,HS,0.0,1970.0
15,Jimmie Hacker,16.0,3B,16.0,1.0,Red Sox,HS,0.0,1970.0
16,John D'Acquisto,17.0,RHP,17.0,1.0,Giants,HS,-1.1,1970.0
17,Dan Ford,18.0,OF,18.0,1.0,Athletics,HS,11.7,1970.0
18,Gene Hiser,19.0,OF,19.0,1.0,Cubs,4Yr,-1.9,1970.0
19,Terry Mappin,20.0,C,20.0,1.0,Tigers,HS,0.0,1970.0
20,Ron Broaddus,21.0,RHP,21.0,1.0,Braves,HS,0.0,1970.0
21,Bob Gorinski,22.0,SS,22.0,1.0,Twins,HS,-0.6,1970.0
22,George Ambrow,23.0,SS,23.0,1.0,Mets,HS,0.0,1970.0
23,James West,24.0,C,24.0,1.0,Orioles,HS,0.0,1970.0
24,Dan Spillner,25.0,RHP,1.0,2.0,Padres,HS,9.2,1970.0
25,Bill Flowers,26.0,OF,2.0,2.0,Indians,HS,0.0,1970.0
26,Chip Lang,27.0,RHP,3.0,2.0,Expos,HS,0.1,1970.0
27,Ken Pape,28.0,SS,4.0,2.0,Brewers,HS,0.3,1970.0
28,Roger Choate,29.0,C,5.0,2.0,Phillies,HS,0.0,1970.0
29,Terry Forster,30.0,LHP,6.0,2.0,White Sox,HS,20.7,1970.0
30,Alton Williams,31.0,SS,7.0,2.0,Astros,HS,0.0,1970.0
31,John Johnson,32.0,SS,8.0,2.0,Royals,HS,0.0,1970.0
32,Randy Fairbanks,33.0,LHP,9.0,2.0,Dodgers,HS,0.0,1970.0
33,Dan Briggs,34.0,LHP,10.0,2.0,Angels,HS,-3.5,1970.0
34,Ron Kinner,35.0,C,11.0,2.0,Cardinals,HS,0.0,1970.0
35,Richard Earle,36.0,RHP,12.0,2.0,Yankees,HS,0.0,1970.0
36,Kenneth Waiss,37.0,RHP,13.0,2.0,Pirates,HS,0.0,1970.0
37,Art DeFilippis,38.0,LHP,14.0,2.0,Senators,HS,0.0,1970.0
38,Rex Jackson,39.0,RHP,15.0,2.0,Reds,HS,0.0,1970.0
39,Fred Wegner,40.0,OF,16.0,2.0,Red Sox,HS,0.0,1970.0
40,Butch Metzger,41.0,RHP,17.0,2.0,Giants,HS,1.3,1970.0
41,Dale Holland,42.0,2B,18.0,2.0,Athletics,HS,0.0,1970.0
42,Dyain Frazier,43.0,LHP,19.0,2.0,Cubs,HS,0.0,1970.0
43,Mike Ibarguen,44.0,RHP,20.0,2.0,Tigers,HS,0.0,1970.0
44,Adrian Devine,45.0,RHP,21.0,2.0,Braves,HS,2.7,1970.0
45,Mark Wiley,46.0,RHP,22.0,2.0,Twins,4Yr,-1.2,1970.0
46,Gary Nevinger,47.0,RHP,23.0,2.0,Mets,HS,0.0,1970.0
47,Michael Satterlee,48.0,C,24.0,2.0,Orioles,HS,0.0,1970.0
48,Danny Goodwin,1.0,C,1.0,1.0,White Sox,HS,-1.7,1971.0
49,Jay Franklin,2.0,RHP,2.0,1.0,Padres,HS,-0.2,1971.0
50,Tommy Bianco,3.0,SS,3.0,1.0,Brewers,HS,-0.2,1971.0
51,Condredge Holloway,4.0,SS,4.0,1.0,Expos,HS,0.0,1971.0
52,Roy Branch,5.0,RHP,5.0,1.0,Royals,HS,-0.3,1971.0
53,Roy Thomas,6.0,RHP,6.0,1.0,Phillies,HS,3.2,1971.0
54,Roger Quiroga,7.0,RHP,7.0,1.0,Senators,HS,0.0,1971.0
55,Ed Kurpiel,8.0,1B,8.0,1.0,Cardinals,HS,0.0,1971.0
56,David Sloan,9.0,RHP,9.0,1.0,Indians,HS,0.0,1971.0
57,Taylor Duncan,10.0,SS,10.0,1.0,Braves,HS,0.0,1971.0
58,Tom Veryzer,11.0,SS,11.0,1.0,Tigers,HS,-3.7,1971.0
59,Neil Rasmussen,12.0,SS,12.0,1.0,Astros,HS,0.0,1971.0
60,Frank Tanana,13.0,LHP,13.0,1.0,Angels,HS,57.9,1971.0
61,Rich Puig,14.0,2B,14.0,1.0,Mets,HS,-0.4,1971.0
62,Jim Rice,15.0,OF,15.0,1.0,Red Sox,HS,47.4,1971.0
63,Jeff Wehmeier,16.0,RHP,16.0,1.0,Cubs,HS,0.0,1971.0
64,William Daniels,17.0,RHP,17.0,1.0,Athletics,HS,0.0,1971.0
65,Frank Riccelli,18.0,LHP,18.0,1.0,Giants,HS,0.2,1971.0
66,Terry Whitfield,19.0,OF,19.0,1.0,Yankees,HS,5.9,1971.0
67,Rick Rhoden,20.0,RHP,20.0,1.0,Dodgers,HS,35.9,1971.0
68,Dale Soderholm,21.0,SS,21.0,1.0,Twins,HS,0.0,1971.0
69,Craig Reynolds,22.0,SS,22.0,1.0,Pirates,HS,13.2,1971.0
70,Randy Stein,23.0,RHP,23.0,1.0,Orioles,HS,-2.4,1971.0
71,Mike Miley,24.0,SS,24.0,1.0,Reds,HS,-0.9,1971.0
72,Bill Sharp,25.0,OF,1.0,2.0,White Sox,4Yr,2.0,1971.0
73,Willie Boynton,26.0,RHP,2.0,2.0,Padres,HS,0.0,1971.0
74,Larry Anderson,27.0,RHP,3.0,2.0,Brewers,HS,-0.5,1971.0
75,Dan Warthen,28.0,LHP,4.0,2.0,Expos,HS,0.6,1971.0
76,George Brett,29.0,SS,5.0,2.0,Royals,HS,88.4,1971.0
77,Mike Schmidt,30.0,SS,6.0,2.0,Phillies,4Yr,106.5,1971.0
78,William Amason,31.0,RHP,7.0,2.0,Senators,HS,0.0,1971.0
79,Gary Christophel,32.0,LHP,8.0,2.0,Cardinals,HS,0.0,1971.0
80,Jim Umbarger,33.0,LHP,9.0,2.0,Indians,HS,2.1,1971.0
81,Jamie Easterly,34.0,LHP,10.0,2.0,Braves,HS,1.4,1971.0
82,Dennis DeBarr,35.0,LHP,11.0,2.0,Tigers,HS,0.0,1971.0
83,Art Gardner,36.0,LHP,12.0,2.0,Astros,HS,-0.9,1971.0
84,Ron Jackson,37.0,3B,13.0,2.0,Angels,HS,7.2,1971.0
85,James Kidder,38.0,2B,14.0,2.0,Mets,HS,0.0,1971.0
86,Milt Jefferson,39.0,3B,15.0,2.0,Red Sox,HS,0.0,1971.0
87,Steven Haug,40.0,C,16.0,2.0,Cubs,HS,0.0,1971.0
88,Ron Williamson,41.0,OF,17.0,2.0,Athletics,HS,0.0,1971.0
89,Tony Pepper,42.0,1B,18.0,2.0,Giants,HS,0.0,1971.0
90,Stephen Lindsey,43.0,3B,19.0,2.0,Yankees,HS,0.0,1971.0
91,Greg Reinecker,44.0,RHP,20.0,2.0,Dodgers,HS,0.0,1971.0
92,Michael Uremovich,45.0,C,21.0,2.0,Twins,HS,0.0,1971.0
